Designator,MPN,Qty,Link
"C201, C203, C205, C206, C207, C304, C610",,7,
"C202, C204, C601, C607, C608",,5,
C208,,1,
C209,,1,
C210,,1,
"C301, C305, C307, C308, C609",100n,5,
"C302, C303",24p,2,
C306,293D107X0016D2TE3,1,
"C602, C603",100n 1%,2,
C605,100n 1% DNP,1,
C611,10n,1,
D301,304090043,1,
D302,304090045,1,
L201,MSS7341-502NLD,1,
L202,XFL3010-472MEB,1,
L301,303030020,1,
Q201,TPH1R712MDL1Q,1,
"Q301, Q501",NTR3A052PZT1G,2,
Q701,DMG3402L,1,
"R201, R207, R208, R302, R507, R701, R704, R705",82k,8,
"R202, R702, R703",301020022,3,
"R203, R308, R309, R501, R503, R504, R505, R506",10k,8,
R204,162k 1%,1,
R205,649k 1%,1,
R206,15k,1,
R301,301020022,1,
"R303, R304",0R,2,
"R306, R307",1k,2,
"R603, R604",1k 1% --> short to 0R,2,
"R605, R606",100R 1%,2,
"R607, R608",DNP,2,
"R610, R611, R612",47R,3,
SW301,DNP,1,
TP_RTC301,CONN_01X01,1,
U201,TPS62745,1,
U202,LTC3534,1,
U203,LP5907,1,
U301,MSP430FR5969IRGZR,1,
U501,ESP-12S,1,
U601,ADS1220,1,
Y301,FC-12M 32.7680KA-A3,1,
