Reference(s),MPN,Qty,MouserLink
"C201, C203, C205, C206, C207, C304, C610",CC0805KKX5R8BB106,7,
"C202, C204, C601, C607, C608",CC0603KRX7R8BB105,5,
C208,CC0603JRNPO9BN331,1,
C209,CC0603JRNPO9BN100,1,
C210,CC0603JRNPO9BN330,1,
"C301, C305, C307, C308, C609",CC0603KRX7R9BB104,5,
"C302, C303",CC0603JRNPO9BN250,2,https://www.mouser.ch/ProductDetail/Yageo/CC0603JRNPO9BN250?qs=%2fha2pyFaduiZbois2HzNxX5Fn2jxNU0T9riId%252bCiJb5t99D1z%252b76Cw%3d%3d
C306,293D107X0016D2TE3,1,
"C602, C603",CC0603JRX7R7BB104,2,
C611,CC0603KRX7R9BB103,1,
D301,19-217-G7C-AN1P2-3T,1,
D302,19-217-BHC-ZL1M2RY-3T,1,
L201,MSS7341-502NLD,1,
L202,XFL3010-472MEB,1,
L301,BLM18AG121SN1D,1,
Q201,TPH1R712MDL1Q,1,https://www.mouser.ch/ProductDetail/Toshiba/TPH1R712MDL1Q?qs=sGAEpiMZZMvNM%2fd3q5fCV4Bsm%252b4NPS2VEWd3q01qzE4%3d
"Q301, Q501",NTR3A052PZT1G,2,
Q701,DMG3402L-7,1,
"R201, R207, R208, R302, R507, R701, R704, R705",RC0603FR-0782KL,8,
"R202, R702, R703",RC0603FR-0747KL,3,
"R203, R308, R309, R501, R503, R504, R505, R506",RC0603JR-0710KL,8,
R204,RC0603FR-07162KL,1,
R205,RC0603FR-07649KL,1,
R206,RC0603JR-0715KL,1,
R301,RC0603FR-0747KL,1,
"R303, R304, R603, R604","RC0603JR-070RL	",4,
"R306, R307",RC0603FR-071KL,2,
"R605, R606",RC0603FR-07100RL,2,
"R610, R611, R612",RC0603JR-0747RL,3,
SW301,DTSM-62K-S-V-T/R(SN431),1,
U201,TPS62745DSSR,1,
U202,LTC3534EDHC#PBF,1,
U203,LP5907MFX-3.0/NOPB,1,
U301,MSP430FR5969IRGZR,1,
U501,ESP-12F,1,
U601,ADS1220IPW,1,
Y301,FC-12M 32.7680KA-A3,1,
