Qty,Line Item,Total Qty (@ Batch Size: 40),Unit Price (@ Batch Size: 40),Supplier,Total per device,Batch Total 
,,,Mouser,,,
3,"C0805C102JAGACTU,",120,0.1617,Mouser,0.49,19.40
2,DMG2301L-7,80,0.2093,Mouser,0.42,16.75
1,"C0805C100KBRACTU,",40,0.2619,Mouser,0.26,10.48
2,DMG3402L-7,80,0.2748,Mouser,0.55,21.98
1,DMG3402L-7,40,0.2748,Mouser,0.27,10.99
1,C0805C182JAGACAUTO,40,0.2778,Mouser,0.28,11.11
1,C0805C152JBGACAUTO,40,0.2788,Mouser,0.28,11.15
2,NTR3A052PZT1G,80,0.3085,Mouser,0.62,24.68
1,LP5907MFX-3.0/NOPB,40,0.4464,Mouser,0.45,17.86
1,FC-12M 32.7680KA-A3,40,0.5704,Mouser,0.57,22.82
1,MSS7341-502NLB,40,1.2897,Mouser,1.29,51.59
1,tph1r712mdl1q,40,1.4286,Mouser,1.43,57.14
1,XFL3010-472MEB,40,1.7163,Mouser,1.72,68.65
1,TPS62745DSSR,40,1.7262,Mouser,1.73,69.05
1,MSP430FR5969IRGZR,40,4.1667,Mouser,4.17,166.67
1,LTC3534EDHC#PBF,40,6.2599,Mouser,6.26,250.40
1,SDSDQAB-008G,40,6.8948,Mouser,6.89,275.79
1,ADS1220IPW,40,8.8988,Mouser,8.90,355.95
1,DEV-13712,40,14.8314,Mouser,14.83,593.25
1,Passive Parts,40,,,10.00,400.00
,,Total component value,,,61.39,2455.72
,,SeeedStudio Markup (10%),,,6.14,245.57
,Total component price (Seeedstudio),,,,67.53,2701.29
,,,,,,
1,Wifi ESP-12S,40,,,3.97,158.73
1,YGX-SP3,40,,Alibaba,22.00,880.00
2,SensorCable,80,,AliExpress,9.00,360.00
1,SonoffCase,40,,AliExpress,5.16,206.35
1,EM4095HMSO16A,40,,,3.00,120.00
1,RFID Coil,40,,Priority1Design,5.50,220.20
1,RFID Case,40,,Aliexpress,0.85,34.13
1,AABatteryCase,40,,Aliexpress,1.03,41.27
1,Nestbox PCB,40,,,3.97,158.73
1,RFID PCB,40,,,2.98,119.05
1,Mechanical Parts,40,,,10.00,400.00
1,"Wood, MDF,  LaserCutter",40,,,5.00,200.00
1,User Button,40,,,0.99,39.68
1,4pc Battery LADDA,40,,IKEA,6.95,278.00
1,PCB assembly,40,,,39.68,1587.30
,,,,,,
,Total other parts value,,,,120.09,4803.43
,VAT import fees (7.7%),,,,9.25,369.86
,"Other import service fees, shipping and tariffs",,,,,500.00
,Total costs for electronics,,,,209.36,8374.59
