Reference, Value, Footprint, Datasheet, MPN, SKU
R20,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603FR-073K3L,301010251
R16,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603FR-073K3L,301010251
R8,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603FR-073K3L,301010251
R14,SMD-RES-0R-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603JR-070RL,301010292
R10,SMD-RES-0R-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603JR-070RL,301010292
R15,DNP,Resistors_SMD:R_0603,,,
R9,DNP,Resistors_SMD:R_0603,,,
R12,DNP,Resistors_SMD:R_0603,,,
R17,DNP,Resistors_SMD:R_0603,,,
R13,SMD-RES-0R-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603JR-070RL,301010292
R18,SMD-RES-0R-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603JR-070RL,301010292
R19,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603FR-073K3L,301010251
R11,SMD-RES-3.3K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603FR-073K3L,301010251
Y2,ABM11-142-27.120MHz,Octanis3:Crystal_ABM11-142,,ABM11-142-27.120MHz-T3,
C6,CERAMIC-10PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603JRNPO9BN100,302010097
C8,CERAMIC-10PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603JRNPO9BN100,302010097
L3,560nH,Resistors_SMD:R_0805,,CV201210-R56K,
L4,560nH,Resistors_SMD:R_0805,,CV201210-R56K,
R21,SMD-RES-330R-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603FR-07330RL,301010300
R22,SMD-RES-330R-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603FR-07330RL,301010300
C12,CERAMIC-100PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603JRNPO9BN101,302010076
C13,CERAMIC-100PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603JRNPO9BN101,302010076
